identifier	variety	winery	AVA	vintage	pH	titratableAcidity	ethanol	price_USD	nCases	wineID	collectionYear	sourceDomain
134	Bordeaux Blend	Airfield Estates	Yakima Valley	2018	3.87	5.7	14.1		490	Runway Red Blend	2021	https://www.airfieldwines.com/wine-shop/detail/2018-runway-red-blend/
135	Bordeaux Blend	Airfield Estates	Yakima Valley	2018	3.75	6	14.3		248	Founders H. Lloyd	2021	https://www.airfieldwines.com/wine-shop/detail/2018-founders-h-lloyd/
136	Rhone Blend	Airfield Estates	Yakima Valley	2018	3.84	5.9	14.2		250	Founders Michael	2021	https://www.airfieldwines.com/wine-shop/detail/2018-founders-michael/
137	Syrah	Airfield Estates	Yakima Valley	2018	3.8	5.6	14.4		487	Reserve Syrah	2021	https://www.airfieldwines.com/wine-shop/detail/2018-reserve-syrah/
138	Bordeaux Blend	Airfield Estates	Yakima Valley	2018	3.74	6	14.2		489	Aviator	2021	https://www.airfieldwines.com/wine-shop/detail/2018-aviator/
139	Rhone Blend	Airfield Estates	Yakima Valley	2018	3.89	5.8	14		612	Mustang	2021	https://www.airfieldwines.com/wine-shop/detail/2018-mustang/
140	Merlot	Airfield Estates	Yakima Valley	2019	3.8	6	14.3		1829	Merlot	2021	https://www.airfieldwines.com/wine-shop/detail/2019-merlot/
141	Syrah	Airfield Estates	Yakima Valley	2019	3.89	5.5	14.6		1326	Syrah	2021	https://www.airfieldwines.com/wine-shop/detail/2019-syrah/
142	Bordeaux Blend	Airfield Estates	Yakima Valley	2019	3.84	5.9	14.2		627	Dauntless	2021	https://www.airfieldwines.com/wine-shop/detail/2019-dauntless/
143	Syrah	Pursued By Bear	Columbia Valley	2017	3.94	5.2	14.2		373	Baby Bear	2021	https://www.pursuedbybearwine.com/2017-syrah.html
144	Syrah	Pursued By Bear	Columbia Valley	2016	3.91	6.1	14.5		387	Baby Bear	2021	https://www.pursuedbybearwine.com/2016-syrah.html
145	Cabernet Sauvignon	Pursued By Bear	Columbia Valley	2018	3.69	6	14.2		569	Pursued By Bear	2021	https://www.pursuedbybearwine.com/2018-cabernet-sauvignon.html
146	Cabernet Sauvignon	Pursued By Bear	Columbia Valley	2016	3.75	6.3	14.2		491	Pursued By Bear	2021	https://www.pursuedbybearwine.com/2016-cabernet-sauvignon.html
147	Bordeaux Blend	Pursued By Bear	Columbia Valley	2017	3.87	5.6	14.2		830	Bear Cub	2021	https://www.pursuedbybearwine.com/2017-bear-cub.html
148	Bordeaux Blend	Pursued By Bear	Columbia Valley	2016	3.84	6.5	14.2		881	Bear Cub	2021	https://www.pursuedbybearwine.com/2016-bear-cub.html
149	Cabernet Sauvignon	Pursued By Bear	Walla Walla Valley	2017	3.83	6.1	14.2		93	Twin Bear	2021	https://www.pursuedbybearwine.com/2017-twin-bear.html
150	Grenache	Convergence Zone Cellars	Red Mountain	2019	3.55	4.8	14.7	33.000	71	Mistral Grenache	2021	https://www.czcellars.com/product/2019-Mistral
151	Mourvedre	Convergence Zone Cellars	Wahluke Slope	2019	3.42	7.1	14.6	33.000	70	Fly Rod Mourvedre	2021	https://www.czcellars.com/product/2019-Fly-Rod-Mourvedre
152	Cabernet Sauvignon	Convergence Zone Cellars	Yakima Valley	2018	3.8	6.6	14.3	49.000	25	Reserve Cabernet Sauvignon	2021	https://www.czcellars.com/product/2018-Reserve-Cabernet
153	Bordeaux Blend	Convergence Zone Cellars	Columbia Valley	2017	3.65	6	14.6	29.000	95	Storm Front	2021	https://www.czcellars.com/product/2017-Storm-Front
154	Cabernet Sauvignon	Convergence Zone Cellars	Horse Heaven Hills	2016	3.68	6.5	14.4	35.000	98	Squall Line	2021	https://www.czcellars.com/product/2016-Squall-Line
155	Bordeaux Blend	Convergence Zone Cellars	Columbia Valley	2017	3.85	6	14.7	35.000	73	Squall Line	2021	https://www.czcellars.com/product/2017-Squall-Line
156	Petit Verdot	Convergence Zone Cellars	Yakima Valley	2017	3.67	4.2	14.5	39.000	22	Dericho	2021	https://www.czcellars.com/product/2017-Dericho
157	Tempranillo	Convergence Zone Cellars	Snipes Mountain	2018	4.05	5.3	14.1	30.000	86	Fly Rod Tempranillo	2021	https://www.czcellars.com/product/2018-Fly-Rod-Turcks-Tempranillo
158	Rhone Blend	Convergence Zone Cellars	Columbia Valley	2017	3.75	6	14.7	33.000	79	Virga	2021	https://www.czcellars.com/product/2017-Virga
159	Rhone Blend	Convergence Zone Cellars	Columbia Valley	2018	3.55	6.7	14.5	33.000	79	Virga	2021	https://www.czcellars.com/product/2018-Virga
160	Cabernet Sauvignon	Shackelford Wine	Columbia Valley	2016	3.62	6.1	14.1	30.000	88	Cabernet Sauvignon	2021	https://shackelfordwine.orderport.net/product-details/0004/2016-Cabernet-Sauvignon
161	Cabernet Sauvignon	Shackelford Wine	Columbia Valley	2017	3.62	6.1	14.1	30.000	47	Cabernet Sauvignon	2021	https://shackelfordwine.orderport.net/product-details/0025/2017-Cabernet-Sauvignon
